Z3_1	Z3_2	Z3_3
460.3787	483.8053	627.1165
465.7632	506.1465	627.241
432.3234	476.3054	627.2921
443.1546	482.6983	627.2972
444.4586	493.8337	627.2942
430.0662	478.9455	627.3039
428.1266	469.8795	627.3051
425.7702	470.3655	627.303
427.687	467.1062	627.3046
446.8584	489.623	627.2745
442.8084	490.4312	627.2762
443.2644	513.3984	627.4792
457.3623	509.4449	625.3308
454.4923	520.152	626.0007
516.6268	554.6433	625.621
450.2408	524.7165	626.5839
481.6803	509.5869	627.5408
506.7226	540.5804	627.5301
437.7864	484.5282	627.4203
434.7929	477.0189	627.3827
481.0739	488.0227	627.3919
441.4369	501.9317	626.3001
441.0017	485.9206	625.8619
435.0099	491.7034	627.2996
441.2652	481.03	627.2973
486.9377	514.8752	627.3104
468.7098	537.8003	631.5762
481.0247	529.3831	628.8692
460.2656	490.442	627.4446
448.2722	485.1694	627.3746
458.9524	480.1438	627.3411
449.0999	483.3625	627.3811
487.916	515.3428	627.3984
440.5708	493.4748	625.4947
447.98	488.8183	625.4783
464.079	533.4562	632.3367
449.2448	485.1389	627.46
484.3304	536.0861	627.3922
493.9225	536.613	627.4899
432.8155	492.0286	625.3982
445.6971	491.342	625.5195
447.3259	490.704	625.4554
448.7879	513.9864	631.7953
487.0984	523.4927	644.0913
433.7576	491.8746	625.6523
443.1717	499.2357	625.7619
460.3101	477.9211	627.1922
465.8897	476.9304	627.3162
465.0763	475.8743	627.3807
475.3866	535.0711	627.2798
448.4585	537.054	628.4662
462.226	468.0146	625.9393
453.1632	471.3307	626.1069
453.3249	472.5057	626.0378
469.2717	523.3074	626.0618
492.8112	558.9335	626.2685
467.9521	510.7759	626.2069
453.3579	482.1314	626.1977
478.4636	519.3266	626.0415
483.8739	521.568	626.6738
471.0547	472.039	625.7912
434.9426	499.1614	625.9738
434.079	476.3296	626.5226
470.3271	510.5908	626.2385
458.28	508.1775	639.0881
451.5893	485.9124	626.9949
433.7677	469.308	626.9617
457.065	479.1768	625.8755
457.9987	479.9114	625.8663
465.8788	490.5885	627.4068
450.2968	476.4313	627.399
435.5162	468.331	627.3684
472.4015	481.9314	627.3872
457.0831	471.6364	627.379
461.8761	509.3855	640.8199
424.3327	464.7149	627.3421
420.742	465.1316	627.3215
424.3932	472.0119	627.3532
420.8865	464.6984	627.3305
478.4461	499.9958	627.281
467.0714	507.416	627.285
478.8585	500.0168	627.281
439.7946	466.9724	627.287
441.3575	467.257	627.2923
427.919	466.3303	627.2875
430.6845	479.6913	627.2838
426.6049	469.0959	627.2864
429.4091	477.6216	627.2838
439.7488	489.944	625.7473
424.1776	465.3236	627.2971
423.4066	465.4715	627.3002
418.3197	456.7492	627.2966
412.2247	452.9359	627.2991
472.5785	504.4552	637.4149
444.4811	507.5003	628.1937
443.397	499.7493	627.6362
461.7397	512.3044	627.506
437.4054	491.382	626.6218
452.1192	499.8645	626.2094
423.96	463.2409	627.3024
459.2352	489.9567	627.3025
448.4686	484.5837	627.2816
428.3934	470.4595	627.2835
447.9261	491.283	627.2825
429.5529	471.7898	625.5577
434.2406	483.2068	625.6516
439.1243	473.3403	627.3052
431.0506	495.2924	625.9406
448.6696	499.2262	626.1251
442.1831	478.7813	626.017
460.8835	500.2949	627.3809
499.2122	565.5732	627.4126
472.4233	499.1834	627.402
435.2241	472.736	626.3622
439.7055	484.0859	626.4528
463.3673	507.3989	627.3392
436.3804	471.5974	626.8123
440.4144	479.3855	626.9567
440.6942	480.1441	626.7004
451.7495	488.2083	626.9439
440.5427	477.6943	627.426
434.8462	475.6601	627.3945
446.044	475.3672	627.41
450.5117	500.6861	627.288
423.1031	466.1607	627.2867
431.2054	474.039	627.2855
427.001	470.4157	627.2845
423.5151	464.9666	627.2856
438.6939	479.1082	627.2853
461.976	478.331	627.0344
464.585	478.6983	627.1387
480.3543	526.5774	627.0739
417.8097	450.3585	627.288
417.2384	455.1802	627.2908
427.2816	468.4055	627.2907
416.8833	447.1482	627.2996
415.0084	455.8789	627.3019
443.4416	486.5479	627.2983
439.3346	483.7951	627.3004
417.6844	452.9086	627.3033
425.0966	470.4877	627.3013
423.8891	472.4503	627.3038
446.1183	509.4935	631.1694
451.355	505.515	629.2495
500.7693	524.2847	628.093
442.5195	501.0606	628.3227
510.1418	533.943	631.0419
507.6624	536.3019	629.2855
