Z_1	Z_2	Z_3
435.25	474.5	0
439.25	0	0
438.8	0	0
435.95	0	0
431.3	461.2	0
445.1	503.15	0
430.9	477	0
427.45	463.05	0
458	0	0
429.2	469.1	0
446.5	0	0
449	0	0
448.6	0	0
421	454.45	0
434.7	470.55	0
424.35	461.05	0
426	460	0
431.55	454.5	0
422.5	448.95	0
427.05	456.2	0
425.6	455.5	0
424.3	457.05	0
427.45	459.6	0
423.85	455	0
424.9	455	0
454.2	558.45	0
430.5	467.1	0
454.2	556.95	0
424.55	454.5	0
425.65	452.05	0
432.15	463.5	0
420.3	446.9	0
418.25	458.75	0
428.6	469	0
0	451	0
437.3629	439.2054	627.3005
442.2439	460.3851	627.3006
0	440.15	0
460.3	0	0
428.15	0	0
0	564.5	0
0	441.8	0
0	522.15	0
0	445.5	0
439.95	0	0
451.1	0	0
425.1	470	0
0	0	0
450.2	0	0
444.5	0	0
437.85	467.2	0
466.9	499.25	0
437.35	467.5	0
471.75	507.5	0
434.3	485	526.1
472.3	529	0
469.85	0	0
521.1	0	0
472.8	522.6	0
468.15	0	0
508.25	0	0
470.1	0	0
467.6	0	0
461.2	507.65	0
497.1	554.75	0
482.25	0	0
466.25	524	0
504.75	0	0
474.35	542	0
465.95	527.5	0
464.85	529.25	0
456.2	0	0
466.85	527.9	0
461.75	523.5	0
458.7	506.2	0
499.6	0	0
459.2	0	0
499.75	535	0
460.4	517.5	0
480.4	531.6	0
497.75	567.75	0
461.6	520.5	0
463.7968	531.5174	627.4968
463.35	526.85	0
471.3	537.6	0
477.95	0	0
466.5	0	0
486.05	0	0
472.7	0	0
463.05	514.65	0
479.5	0	0
495	0	0
464.3	0	0
471.2	531.1	0
491.5	0	0
485.7	0	0
491.5	0	0
474.95	0	0
476.8	0	0
469.2	520.7	0
514	575.6	0
486.35	0	0
478.8	0	0
472.65	0	0
467.6	0	0
460.15	0	0
469.35	0	0
477.35	0	0
502.4	0	0
475.3	0	0
468.85	0	0
436.75	491.95	0
478.85	0	0
471.8	0	0
432.2	491.6	0
435.5	471.3	0
481.3	0	0
494.95	0	0
477.3	0	0
485.45	0	0
472.1916	527.6022	626.3403
446.4	0	0
450	500.45	0
476.7	0	0
480.5	0	0
472.35	0	0
504.2	0	0
487.65	0	0
431	475.9	0
456.05	0	0
483.1	0	0
520.45	0	0
476.2	0	0
482	0	0
470.45	0	0
461.15	0	0
455.4	0	0
455.85	0	0
454.45	0	0
433.3	489.8	0
479.4997	536.01	629.525
478.5	536.05	0
482.035	0	0
463.2	527.7	0
479.9	543.25	0
455.7	521.2	0
461.7	0	0
0	0	0
443	511.5	0
466.15	0	0
450.2606	507.2554	627.272
461.1	0	0
436.55	488	521.1
472.7	0	0
431.35	479.7	0
435.9193	470.6939	625.6713
440.4	0	0
447.35	486.8	0
439.6	482.9	0
435.5	482.55	0
435.9	479.6	0
444.85	513.35	0
454.3	522.55	0
447.7	0	0
444.45	0	0
445	484.65	0
0	0	0
438.35	0	0
440.5	489.5	0
453.55	0	0
445.65	0	0
444.55	499.1	0
454.45	0	0
434.9	475	0
438.9	482.4	0
435.4	485.4	0
471.8	518.6	0
433.55	478.4	0
448	0	0
458.75	514.05	0
454.7	510.85	0
459.9	522.15	0
456	0	0
452.35	504.55	0
441.15	479.35	0
471.89	527.72	0
440.1	477.95	0
433.2	466.95	0
456	0	0
527.45	0	0
538.5868	595.7474	658.8017
501.45	0	0
466.6	533	0
457.2315	521.4586	627.3043
512.5756	573.0947	658.8089
528.35	0	0
630.45	0	0
519.35	0	0
0	0	0
444.1	501.05	0
466.35	536.35	0
456.15	521.9	0
456.9	529.25	0
452.05	514	0
456.3	505.3	0
0	596.15	0
0	462.6	0
524.5	0	0
534.65	0	0
0	570.25	0
627.1	0	0
510.55	0	0
475.4	526.5	0
533.95	0	0
