Well_name	X_coord	Y_coord
616-2	554250.52	5003540.35
616-3	554368.73	5003543.4
6160	552176	5001940
6161	552450	5001946.16
6161-3H	552386	5001820
6162	552710	5001966.03
6162-2H	552590	5001919
6163	552980	5001960
6164	551889.34	5002454.38
6164-1	552019	5002481
6164-2	551819	5002329
6164-3	552014.34	5002329.38
6165	551932	5002176.25
6165-1	552070	5002184
6165-2H	552045	5001926
6165-3	552053	5002078
6166	551932	5001926
6168	552448.78	5001676.51
617	554482	5003683.85
6170	552973.29	5001712.7
6172	552724.37	5002210.54
6172-1	552865.52	5002220.47
6172-2	552701.02	5002090.54
6172-3	552845.38	5002109.41
618	554715.3	5003636.99
618-1	554879.39	5003663.1
618-3	554831.09	5003542.27
619	555239	5003633.1
619-1	555365.59	5003633
619-2	555240.59	5003536
619-3	555365	5003561
62	553995	5003861
62-1	554136.5	5003833
620	549990	5003483.98
6201	550553.17	5003909.02
6202	550132	5003898.3
6202-2H	550257	5003900
6203	549996.01	5003925.64
6206	552452.83	5003933.9
6206-2S	552525	5003900
6208	552932.89	5003933.9
6208-1	553066	5003936
6208-3	553076.378	5003839.156
621	550205	5003476
621-3	550391.64	5003335.16
6210	553469	5003950.87
6210-3	553611.5	5003766
6210-3S	553444	5003867
6211	549491.8208	5003725.616
6212	549739.4708	5003725.616
6217	552933	5003725.62
6218	553200	5003725.62
6218-1	553356	5003718.5
6218-2	553229	5003615
6218-4H	553067	5003807
622	550495.71	5003480.29
622-3	550622	5003303
6221	549504	5003478
6223	552253	5003495
6223-3H	552221	5003349
6223-4H	552227	5003642
623	550740	5003476.71
623-1	550891	5003473
623-3	550846.5755	5003361.001
6233	549739.47	5002973.78
6236	548995.25	5002725.49
624	550989.71	5003476.73
624-3	551107	5003340
6240	552421.08	5002661.36
6241	552588.72	5002661.36
6241-1	552714	5002661
6241-3H	552573	5002605
6248-1H	550350	5002485
6249	551632	5002382
6249-1	551773	5002359
6249-3	551768.85	5002258.07
6249-4H	551677	5002487
625-1H	551289	5003584
625-3	551349	5003360
6257	551000	5002229
6257-1H	551113	5002177
6257-4H	550862	5002209
6258-3	551419	5002127
625A	551197	5003427
626	551491	5003421
626-3	551365.26	5003361.37
6264	549734	5001947
6269	550982	5001932
627	551731	5003471
6270	551492.71	5001932
6271	551660.35	5001914
6276	553499	5001725
628	553228	5003468.49
628-1	553361.3	5003471.61
628-1-3S	553300	5003427
628-3	553365	5003374
6282	549734	5001748.861
629	553491.21	5003476.19
629-1	553622	5003467.25
629-2	553491	5003374.5
629-3	553622	5003374
63	554308.71	5003875.99
63-3	554429	5003844
63-4S	554309	5003876
630	553999.71	5003448.99
630-2	553997	5003341
630-3	554105.5	5003324
631	554488.21	5003417.85
631-1	554600.13	5003434.22
631-2	554488	5003280
6313	551218	5003011
632	555001	5003430.84
632-1	555134	5003443
632-2	555033	5003328
632-3	555137.4	5003344
6321	549996	5001723.161
633	549990.21	5003239.38
633-3	550128.19	5003103.77
6339	552730.1645	5003449.726
634	550243	5003231
634-3	550406	5003103
6347	556279	5003914
6347-3	556204.7	5004084.25
6349-1	554329.06	5003430.29
6349-2	554246	5003327
6349-3	554363.25	5003356.44
635	550989.71	5003231.25
635-3	551108.26	5003109.24
6350-1	555843.49	5003506.94
636	551277	5003181
636-1	551366	5003219
636-3	551357.27	5003098.69
6367	553511.522	5001486.427
6368H	553757	5001503
6369	554009.997	5001486.427
637	551491	5003230.84
637-3	551607.43	5003097.47
6371	554512.282	5001484
638	551757	5003227.91
638-1	551860	5003220
638-2	551757	5003095
638-3	551917.8	5003101.77
639	553228	5003222
639-1	553370.02	5003227.5
639-3	553351.62	5003117.73
64	554514	5003836
640	554246	5003203
640-3	554416.48	5003104.93
641	554438	5003165.8
641-1	554616.16	5003192.62
641-2	554494.14	5003077.41
6416	552241.4	5002694
6416-1	552341	5002694
6416-4H	552208	5002802
642	554738.21	5003206.77
642-1	554855	5003219
642-3	554915.88	5003063.58
643	555232.6	5003218.49
643-1	555374.3	5003227.5
643-2	555232.93	5003099.83
643-3	555367.28	5003073.91
644	555483	5003231.86
644-2	555428.63	5003069.82
644-3	555639.28	5003104.61
645-3	549851	5002853
646	549990.21	5002963
646-1H	550118	5002992
646-3	550166	5002839
646-3H	549839	5002902
646-4H	549943	5003055
647	550232	5002963
647-2H	550281	5002744
647-3	550349.55	5002853.33
648	550985.71	5002959.49
648-1	551027	5002919
648-2	550986	5002874
648-3	551120.05	5002856
648C-1H	551415	5002989
649	551791	5002975.93
649-2C	551394.84	5002778.59
649-3C	551636.84	5002884.17
650	554450.2	5002976.25
650-1	554620.68	5003051.04
650-2	554500	5002863
650-3	554634	5002863
651	554726	5002963
652	555012	5002972.23
652-1	555117	5002975
652-2	555005	5002856
652-3	555118	5002844
653	555483	5002975.85
653-2	555483	5002840
655	549990	5002733
655-3	550116	5002594
656	550725.71	5002733.69
656-1	550818	5002726
656-2	550748	5002601
656-3	550838	5002601
657	550985.71	5002721.99
657-1	551113.0107	5002726.189
657-2	550986.655	5002591.054
657-3	551111	5002621
658	551242.21	5002729.7
658-3	551373	5002624
659	551488	5002733.79
659-2	551439.0305	5002624.401
660	553241	5002725
660-1	553372	5002744
660-3	553370.16	5002624.47
661	553557	5002768
661-1	553683	5002732
