K_1	K_2	K_3
171.5681	133.1505	0
603.8937	373.6043	0
788.8613	347.2442	0
1039.958	820	0
466.817	0	0
426.6879	0	0
957.8236	0	0
378.4929	0	0
298.6844	0	0
154.5979	250.7603	0
776.2857	0	0
747.6321	0	0
977.1326	802.4301	0
4563.889	4555.451	0
714.322	805.028	0
771.9843	15.40104	0
402.7792	0	0
276.1167	232.7179	0
830.8659	158.4127	0
455.6286	230.2825	0
890.4452	222.1955	0
295.3855	302.0085	0
1100.939	0	0
127.3614	0	0
876.539	0	0
998.5928	300.0481	0
362.7956	549.5846	0
691.1492	234.8755	0
1215.318	0	0
144.4966	0	0
926.6183	1039.923	0
118.3405	55.36714	0
467.2026	184.545	0
238.1613	213.7858	0
555.6508	0	0
110.0693	0	0
644.2147	598.2281	0
542.6667	0	0
1184.674	0	0
161.9476	0	0
1296.817	334.4858	0
862.4184	0	0
586.3673	0	0
306.1877	0	0
495.8673	0	0
439.1261	1400.245	0
612.5791	0	0
247.2509	0	0
216.897	0	0
3960.781	399.5412	0
945.507	400.686	0
424.4669	1253.141	0
560.9607	0	0
3661.179	420.2527	0
978.3194	0	0
1135.173	189.3772	0
157.4123	218.9487	0
236.2771	81.67368	0
135.2329	26	0
504.0716	293.801	0
179.3739	0	0
240.1687	159.2491	0
400.1655	0	0
660.6906	0	0
927.8068	0	0
488.3053	0	0
191.8378	89.09091	0
450.4296	869.3195	0
460.2505	0	0
250.9289	0	0
319.4815	500.7806	0
276.7471	292.7347	0
465.4908	834.0889	0
554.2761	471.1739	0
434.9591	0	0
280.7223	103.2684	0
434.8862	313.5482	0
825.1021	0	0
135.1057	0	0
488.7132	350.4032	0
1036.096	0	0
1538.561	856.1282	0
75.0248	58.77982	0
134.7659	141.6201	0
985.1899	820.0569	0
414.8623	492	0
1132	813	0
1573	979.0049	0
127.7933	0	0
1576.505	0	0
358.6424	417.2923	0
186.4319	348.4603	0
328.5838	449.7794	0
623.2775	317.7191	0
727.9561	1759.963	0
631.8528	556.7005	0
570.4252	0	0
87.89596	38.62909	0
294.5555	179.8072	0
714.8967	629.0892	0
992.413	1666.39	0
727.7933	843.8095	0
479.3289	0	0
207.9001	447.9964	0
858.6238	416.3929	0
382.721	199.2262	0
1178.598	305.6641	0
229.0474	0	0
268.0508	281.489	0
348.2051	278.1276	0
317.0644	669.8237	0
647.7614	154.303	0
805.1304	105.2632	0
4245.783	1675.634	0
676.0701	477.4	0
653.1049	0	0
386.3169	253.5484	0
604.8219	0	0
699.0072	0	0
344.4675	76.93707	0
522.0707	402.461	0
482.1593	390.1255	0
308.7701	272.8929	0
799.5872	740.0435	0
158.0544	0	0
763.2152	0	0
3171.787	730.3551	0
246.9012	179.4258	381.8073
847.1698	1358.961	0
1190.942	1740.757	97.46788
1383.416	558.4165	233.9149
316.054	586.506	0
604.5106	517.9221	0
3220.556	3509.5	0
1535.948	1367.868	0
1677.144	367.0163	0
261.9396	626.5951	0
396.7931	0	0
1809.33	0	0
2410.818	393.2581	0
1655.386	332.7483	0
386.246	0	0
2579.165	1509.729	0
2070.676	0	0
57.43842	938.1589	0
2121.773	922.3929	0
638.8332	751.2794	0
523.8082	798.4048	0
519.3295	531.163	0
333.6995	901.5714	0
105.1798	411.5056	0
3094.875	0	0
352.9707	382.1384	0
298.5949	432.2902	0
572.281	805.199	0
223.5527	267.9461	0
70.21642	0	0
1276.035	0	0
113.5212	137.245	0
1331.541	2080.107	0
759.3015	0	0
617.8038	419.7063	0
262.6129	0	0
794.8268	479.3242	0
112.5455	539.1132	0
449.8466	384.0884	0
364.5567	0	0
508.8171	218.5927	0
918.1329	741.157	0
86.40829	85.52865	0
413.4742	0	0
2788.125	1710.511	0
38.84042	165.5645	0
4755.279	2732.798	0
200.9611	246.3079	0
252.877	265.9267	0
842.5648	373.2667	0
684.9534	379.7498	0
1874.138	360.3505	137.8709
383.1465	1204.887	0
1588.841	734.4697	0
1057.303	411.4286	0
239.4253	803.174	0
140.4767	260.7582	993.5263
1370.744	1008.294	0
235.28	144.9088	0
265.891	243.4485	0
355.9946	191	0
284.4338	104.4214	0
478.8822	0	0
266.282	282.3757	0
261.8055	472.8095	0
123.1957	72.66428	0
3849.775	4065.927	0
2282.803	2349.079	0
1785.169	706.164	0
1377.62	2225.104	0
0	3448.072	0
3680	3649.393	0
0	911.8304	0
371	154.0889	0
191.3071	0	0
507.916	213.4394	0
577.8112	0	0
1222.016	994	0
441.8048	0	0
901.3066	830.9681	0
397.499	0	0
686.4935	795.6801	0
789.4714	858.9609	0
354.3492	0	0
1704.366	1383.07	0
750.5689	522.4167	0
1495.7	863.5463	0
357.6088	470.0141	0
948.0055	509.7984	0
387.9706	175.2748	0
273.3231	471.7581	0
1061.209	0	0
914.7276	0	0
738.6314	0	0
543.7201	120.951	0
1231.556	206.3987	0
468.3288	195.5178	0
532.4768	194.7692	0
192.249	0	0
263.5033	109.4626	0
254.4857	0	0
175.7333	0	0
290.848	0	0
1386.109	121.5269	0
2997.063	168.125	0
110.7685	132.7232	0
1649.257	1680.716	0
1517.737	2178.419	0
686	301.0898	0
229	222	0
2629.007	3062.547	0
3140.152	3456.871	0
1926.587	1115.109	0
998.9719	1166.261	0
1839.753	1911.059	0
1583.113	1980.359	0
282.5	1337.791	0
5283.247	5843.435	0
1308.517	1256.713	0
776.9697	652.8318	0
198.0147	92.55969	0
477.7133	529.1746	0
182	450.6347	0
532.974	506.7342	0
0	876.0525	0
0	1375.468	0
481.498	1566.341	0
0	274.4445	0
463.8114	0	0
333.9223	0	0
1997.178	2205.889	0
0	1238.425	0
1382.298	1138.439	0
0	658.8246	0
58.57664	0	0
892.3666	0	0
803.8195	862.7136	0
897.0788	872.5855	0
455.8554	0	0
480.5	0	0
975.7778	140.5467	0
155.7692	245.1892	0
466.7436	498.5094	0
1152.069	281.3401	0
553.5811	402.2783	654.0632
738.0693	139	0
393.0535	0	0
194.4492	0	0
622.4182	139	0
1095.741	0	0
229.164	0	0
1860.135	0	0
978.7131	0	0
1584.928	971.1035	0
1870.105	2793.5	0
98.16312	0	0
226.8218	169.2915	0
260.543	0	0
123.531	217.8417	0
801.719	137.1991	0
271.159	127.8482	0
785.3406	0	0
180.8465	75.7493	0
418.9745	1652.172	0
1512.393	2205	0
511.7661	0	0
271.4638	0	0
1203.196	3036.665	0
1009.418	1435.31	0
829.3643	1250.483	0
377.2972	228.7452	0
297.7569	177.7447	0
278.6784	131.2845	0
349.5898	347.3933	0
994.0809	658.1321	0
159.905	0	0
980.0374	0	0
277.3776	0	0
853.6462	0	0
282.113	155	0
94.96049	0	0
170.1275	0	0
505.53	0	0
330.0628	77.4	0
329.7986	0	0
213.7467	0	0
154.0594	0	0
462.1535	0	0
237.8781	0	0
1924.611	244	0
680.2806	694	0
120.9892	0	0
177.8584	0	0
238.2357	0	0
821.237	0	0
583.1673	0	0
469.0526	0	0
112.9413	0	0
293.0229	0	0
188.1197	0	0
535.6733	0	0
204.4364	227.0437	0
130.6757	0	0
178.3277	0	0
507.3642	350.9853	0
731.7141	745.6326	0
125.5523	0	0
145.2323	0	0
242.1474	0	0
1074.941	0	0
533.3555	101.6774	99.71053
1959.033	0	0
1447.199	458.9057	0
577.4938	0	0
616.8307	0	0
691.2402	0	0
871.1893	0	0
511.4876	0	0
1072.946	229.8523	0
253.1125	0	0
278.7111	0	0
1726.99	0	0
1448.093	0	0
2848.516	0	0
177.9822	0	0
454.621	0	0
1237.988	0	0
201.6904	0	0
72.54359	0	0
910.079	629.5153	0
406.5404	195.7256	0
468.9215	978.6281	0
214.2545	0	0
561.6505	1261.682	0
366.1419	85	0
650.4407	352.1505	0
702.3716	0	0
702.5643	430.8863	0
375.4604	215.4142	0
2033.115	0	0
924.1584	127.6408	0
182.2122	0	0
424.1253	298.7599	646.7809
129.5417	0	0
380.2895	357.4795	0
323.9662	144.0181	0
210.7657	0	0
937.043	531.2125	0
407.058	575.4333	0
845.5819	1790.888	0
821.9834	1751.087	0
426.6395	267.755	0
633.9588	661.4059	0
526.4882	0	0
385.2325	0	0
426.3955	142.4737	0
369.9643	555.7397	0
459.7593	0	0
739.5467	1610.843	0
428.3027	0	0
422.6901	0	0
242.5468	114.0553	0
731.0125	0	0
594.0738	772.0222	0
968.8539	1474.976	0
635.2092	1216.288	0
238.8643	945.3913	0
1077.849	1385.747	0
879.4533	0	0
63.97063	1715.585	0
493.1805	534.2653	0
241.3882	170.201	0
834.8891	0	0
663.4313	678.9867	0
301.3987	640.8741	0
386.611	299.2162	0
132.0363	1048.593	0
352.2982	475.6136	0
425.8902	0	0
544.3415	0	0
581.1529	104.5169	149.5658
226.9638	0	0
661.5212	3630.147	0
820.0835	723.3504	110.3918
293.6173	142.1719	199.4211
1193.681	0	0
889.2327	0	0
269.686	0	0
925.974	0	0
165.8425	237.8182	0
379.0507	1137.339	0
2315.049	3760.27	0
192.8479	126.917	0
920.7513	2636.108	0
1086.643	1105.426	0
271.6689	6071.346	0
0	50.57396	0
675.4429	0	0
56.89013	0	0
230.5979	643.9379	0
206.8365	0	0
127.4207	0	0
253.8802	400.0779	0
877.3907	0	0
